City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
padang,-0.95,100.35,79.54,68,100,4.29,ID,1599787617
tuatapere,-46.13,167.68,51.01,59,0,1.99,NZ,1599787618
prince george,53.92,-122.75,75.2,47,1,6.93,CA,1599787374
banes,20.96,-75.72,75.2,94,20,2.24,CU,1599787618
palmer,42.16,-72.33,75.0,100,75,3.36,US,1599787618
tabou,4.42,-7.35,75.33,85,97,10.89,CI,1599787619
teeli,51.03,90.23,39.81,69,11,2.77,RU,1599787619
nicoya,10.15,-85.45,78.8,100,75,2.24,CR,1599787619
mujiayingzi,42.12,118.78,54.25,92,100,13.71,CN,1599787619
qaqortoq,60.72,-46.03,41.0,27,0,10.29,GL,1599787620
lukovetskiy,64.3,41.92,50.0,93,90,8.95,RU,1599787620
sidi ali,36.1,0.42,68.07,71,0,5.93,DZ,1599787620
sheregesh,52.92,87.99,41.5,97,99,1.61,RU,1599787621
kargala,56.62,83.96,44.01,95,100,3.65,RU,1599787621
tessalit,20.2,1.01,93.33,14,15,9.69,ML,1599787621
nouadhibou,20.93,-17.03,87.8,52,92,5.82,MR,1599787621
katherine,-14.47,132.27,91.4,22,35,17.22,AU,1599787622
snezhnogorsk,69.19,33.25,33.8,100,90,3.78,RU,1599787622
varadero,23.15,-81.25,78.8,100,20,4.7,CU,1599787622
baleshwar,21.49,86.93,78.21,88,100,8.3,IN,1599787623
saint johnsbury,44.42,-72.02,62.6,82,100,4.85,US,1599787623
hovd,48.01,91.64,42.39,65,4,3.27,MN,1599787623
kidal,18.44,1.41,93.6,32,1,7.87,ML,1599787623
merauke,-8.47,140.33,82.04,60,0,11.03,ID,1599787624
manokwari,-0.87,134.08,84.97,64,72,2.77,ID,1599787624
las vegas,36.17,-115.14,84.2,11,1,3.36,US,1599787364
ponta delgada,37.73,-25.67,68.0,88,20,6.93,PT,1599787625
kutum,14.2,24.67,71.42,71,100,13.58,SD,1599787625
bustamante,26.53,-100.5,67.21,62,100,5.39,MX,1599787625
el obraje,14.0,-86.43,74.98,81,31,2.37,HN,1599787626
bilina,50.55,13.78,55.0,83,99,1.01,CZ,1599787626
saint anthony,45.02,-93.22,57.0,76,1,3.04,US,1599787626
lorengau,-2.02,147.27,84.94,75,81,9.57,PG,1599787627
sonoita,31.85,-112.83,86.0,14,0,5.86,MX,1599787627
maple creek,49.92,-109.48,69.67,33,0,8.99,CA,1599787628
krasne,49.91,24.61,53.6,81,75,1.74,UA,1599787628
los llanos de aridane,28.66,-17.92,75.2,78,20,11.41,ES,1599787628
de-kastri,51.47,140.78,54.91,78,49,7.81,RU,1599787629
lagoa,39.05,-27.98,71.85,84,0,7.65,PT,1599787629
buala,-8.14,159.59,83.53,72,100,3.51,SB,1599787629
remanso,-9.62,-42.08,76.66,53,0,9.73,BR,1599787629
sangar,63.92,127.47,55.83,52,85,13.29,RU,1599787630
concordia,-31.39,-58.02,61.0,84,0,7.05,AR,1599787630
srednekolymsk,67.45,153.68,54.66,54,0,3.69,RU,1599787630
ahuimanu,21.44,-157.84,89.6,62,20,12.75,US,1599787630
paraiso,9.84,-83.87,71.6,100,75,2.24,CR,1599787631
orthez,43.49,-0.77,66.2,93,75,2.24,FR,1599787631
napierville,45.19,-73.4,55.0,94,100,1.01,CA,1599787631
kenai,60.55,-151.26,60.8,31,1,8.05,US,1599787632
amga,60.9,131.96,57.78,51,100,5.91,RU,1599787632
marawi,8.0,124.29,84.0,74,9,1.99,PH,1599787632
barao de melgaco,-16.19,-55.97,91.4,22,0,4.7,BR,1599787632
lata,40.16,-8.33,71.01,67,2,2.84,PT,1599787633
gorontalo,0.54,123.06,84.94,70,10,4.52,ID,1599787633
poya,-21.35,165.15,75.47,58,0,7.99,NC,1599787633
tshikapa,-6.42,20.8,74.8,58,94,1.61,CD,1599787634
saint-francois,46.42,3.91,64.4,77,64,1.34,FR,1599787634
smolensk,55.0,33.0,45.5,85,0,9.53,RU,1599787634
okha,53.57,142.95,56.43,63,3,12.46,RU,1599787634
bell ville,-32.63,-62.69,61.0,79,0,9.75,AR,1599787635
sitka,57.05,-135.33,60.8,59,20,12.75,US,1599787635
sredniy ikorets,51.07,39.76,59.59,87,3,8.39,RU,1599787635
jati,24.35,68.27,80.24,81,48,8.59,PK,1599787635
great yarmouth,52.61,1.73,53.6,76,98,4.7,GB,1599787636
muros,42.78,-9.06,68.0,73,11,5.01,ES,1599787636
laguna,38.42,-121.42,80.6,47,1,5.82,US,1599787637
bafoulabe,13.81,-10.83,71.15,93,100,7.87,ML,1599787637
port hardy,50.7,-127.42,69.8,64,5,3.36,CA,1599787637
thinadhoo,0.53,72.93,81.32,80,100,13.78,MV,1599787637
vila velha,-20.33,-40.29,73.4,73,0,10.29,BR,1599787638
sayyan,15.17,44.32,63.05,57,4,0.07,YE,1599787638
omboue,-1.57,9.26,74.77,82,100,7.05,GA,1599787639
sol-iletsk,51.16,54.99,49.6,87,0,3.4,RU,1599787639
makaha,21.47,-158.22,89.6,51,1,14.99,US,1599787640
pocatello,42.87,-112.45,71.6,10,1,5.82,US,1599787640
kununurra,-15.77,128.73,91.4,26,97,11.41,AU,1599787640
husavik,66.04,-17.34,46.4,93,90,4.7,IS,1599787640
christchurch,-43.53,172.63,51.01,66,34,18.34,NZ,1599787641
burhaniye,39.5,26.97,73.4,73,0,14.99,TR,1599787641
sturgis,41.8,-85.42,60.8,87,90,6.93,US,1599787642
fonte boa,-2.5,-66.27,71.96,96,100,5.39,BR,1599787642
el angel,0.62,-77.93,42.96,95,69,6.44,EC,1599787642
marzuq,14.4,46.47,78.37,50,0,3.62,YE,1599787643
flinders,-34.58,150.86,64.0,61,0,5.99,AU,1599787643
the valley,18.22,-63.06,82.4,78,40,8.05,AI,1599787643
iaciara,-14.1,-46.63,76.1,26,0,6.62,BR,1599787643
salacgriva,57.75,24.36,46.0,94,93,3.0,LV,1599787644
bannu,32.99,70.6,84.85,37,0,2.86,PK,1599787644
mawlaik,23.63,94.42,76.98,95,100,0.65,MM,1599787644
north bend,43.41,-124.22,55.4,93,90,5.82,US,1599787645
puerto penasco,31.32,-113.53,88.0,36,0,10.0,MX,1599787645
vung tau,10.35,107.08,82.45,76,71,4.63,VN,1599787535
ahipara,-35.17,173.17,56.71,68,0,14.88,NZ,1599787645
asfi,32.3,-9.24,69.85,91,1,6.51,MA,1599787646
kokkola,63.84,23.13,52.0,81,82,4.7,FI,1599787646
molteno,-31.4,26.36,51.44,69,1,2.08,ZA,1599787646
izhma,65.01,53.91,48.69,91,100,10.58,RU,1599787647
bardiyah,31.76,25.09,74.48,82,6,5.93,LY,1599787647
broken hill,-31.95,141.43,69.8,32,0,21.92,AU,1599787647
yining,29.04,114.56,74.8,82,85,1.9,CN,1599787648
chapais,49.78,-74.85,44.6,93,90,4.7,CA,1599787648
hirado,33.36,129.55,81.0,88,75,3.36,JP,1599787648
arlit,18.74,7.39,94.5,13,0,6.62,NE,1599787649
huescar,37.81,-2.54,64.0,84,0,1.03,ES,1599787649
arman,59.7,150.17,55.85,50,0,9.06,RU,1599787649
mackay,-21.15,149.2,75.99,60,37,21.92,AU,1599787649
griffith,41.53,-87.42,62.6,100,90,9.17,US,1599787650
belaya gora,68.53,146.42,56.17,45,36,5.17,RU,1599787650
yuzhne,46.62,31.1,62.6,82,0,8.14,UA,1599787650
port macquarie,-31.43,152.92,64.99,78,84,1.99,AU,1599787650
taoudenni,22.68,-3.98,99.63,16,75,1.07,ML,1599787651
ostrovnoy,68.05,39.51,42.62,87,0,4.41,RU,1599787651
tela,15.78,-87.45,87.8,74,20,2.24,HN,1599787651
moroni,-11.7,43.26,74.34,78,0,9.22,KM,1599787652
lindi,-10.0,39.72,68.32,93,20,4.25,TZ,1599787652
camacha,33.08,-16.33,71.6,68,40,16.11,PT,1599787488
lobito,-12.35,13.55,70.61,84,0,5.12,AO,1599787652
riyadh,24.69,46.72,84.2,18,7,4.7,SA,1599787596
sitrah,26.15,50.62,91.4,70,5,4.7,BH,1599787653
pozo colorado,-23.49,-58.8,83.68,30,100,5.64,PY,1599787653
mirandopolis,-21.13,-51.1,81.5,23,100,7.7,BR,1599787653
awbari,26.59,12.78,84.11,22,53,7.72,LY,1599787654
san marcos,33.14,-117.17,79.0,78,1,4.7,US,1599787453
atasu,48.68,71.64,46.42,55,0,10.4,KZ,1599787654
lunca ilvei,47.37,24.98,43.0,85,14,4.25,RO,1599787655
udachnyy,66.42,112.4,44.6,87,90,2.24,RU,1599787655
langham,52.37,-106.97,73.99,43,20,8.05,CA,1599787655
lakatoro,-16.1,167.42,80.6,61,20,9.17,VU,1599787656
camargo,27.67,-105.17,76.77,57,62,6.64,MX,1599787656
gandorhun,7.5,-11.83,73.38,98,100,5.55,SL,1599787656
harper,4.38,-7.72,75.58,84,99,11.3,LR,1599787656
bahia honda,22.9,-83.16,80.15,83,91,4.61,CU,1599787657
matias romero,16.88,-95.03,77.43,87,100,6.22,MX,1599787657
ler,8.3,30.14,71.96,93,92,1.39,SS,1599787512
dali,25.7,100.18,64.49,86,100,1.7,CN,1599787658
kahramanmaras,38.0,37.0,68.0,40,0,9.17,TR,1599787658
kidodi,-7.6,37.0,68.81,80,0,0.67,TZ,1599787658
dawson creek,55.77,-120.24,77.0,29,1,14.99,CA,1599787658
mwene-ditu,-7.0,23.45,69.48,32,64,3.83,CD,1599787659
chicama,-7.84,-79.15,60.71,83,29,4.63,PE,1599787659
benton harbor,42.12,-86.45,60.8,77,90,4.7,US,1599787659
coquimbo,-29.95,-71.34,55.4,82,0,11.41,CL,1599787660
chalette-sur-loing,48.01,2.74,61.0,85,1,1.97,FR,1599787660
teahupoo,-17.83,-149.27,80.6,61,75,6.93,PF,1599787660
dilla,6.41,38.31,59.38,72,100,4.32,ET,1599787661
minas de barroteran,27.63,-101.28,64.22,63,90,12.86,MX,1599787661
berndorf,47.95,16.11,62.01,92,99,1.99,AT,1599787661
sisimiut,66.94,-53.67,36.91,81,1,7.56,GL,1599787661
quatre cocos,-20.21,57.76,72.0,78,75,11.41,MU,1599787662
muana,-1.53,-49.22,79.32,78,1,9.06,BR,1599787662
bisira,8.52,-81.71,61.43,100,100,1.72,PA,1599787662
luancheng,37.88,114.65,77.0,53,0,8.95,CN,1599787662
mitzic,0.78,11.55,68.38,98,100,4.45,GA,1599787663
khandbari,27.37,87.2,75.42,73,97,1.01,NP,1599787663
pangkalanbuun,-2.68,111.62,83.19,72,99,3.69,ID,1599787663
tempio pausania,40.9,9.1,68.0,100,100,6.93,IT,1599787664
plouzane,48.38,-4.62,51.8,100,11,4.7,FR,1599787664
san borja,-14.82,-66.85,81.1,39,1,2.01,BO,1599787664
adrar,20.5,-10.07,97.77,16,94,7.56,MR,1599787664
